PRODUCT ID,PRODUCT NAME,PRODUCT DESCRIPTION,PRODUCT PRICE,PRODUCT QUANTITY
AREAP12365,New Product,This is a new fileStore,1.99,1
AREAP12365,New Product,This is a new fileStore,1.99,2
AREAP12365,New Product,This is a new fileStore,1.99,3
AREAP12365,New Product,This is a new fileStore,1.99,4
AREAP12365,New Product,This is a new fileStore,1.99,5
AREAP12365,New Product,This is a new fileStore,1.99,6
AREAP12365,New Product,This is a new fileStore,1.99,7
AREAP12365,New Product,This is a new fileStore,1.99,8
AREAP12365,New Product,This is a new fileStore,1.99,9
AREAP12365,New Product,This is a new fileStore,1.99,10
AREAP12365,New Product,This is a new fileStore,1.99,11
